,観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),4日の最高気温(℃),4日の最高気温の品質情報,4日の最高気温起時（時）,4日の最高気温起時（分）,4日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（3日まで）,今年の最高気温（3日まで）の品質情報,今年の最高気温（3日まで）を観測した起日（年）,今年の最高気温（3日まで）を観測した起日（月）,今年の最高気温（3日まで）を観測した起日（日）,3日までの観測史上1位の値（℃）,3日までの観測史上1位の値の品質情報,3日までの観測史上1位の値を観測した起日（年）,3日までの観測史上1位の値を観測した起日（月）,3日までの観測史上1位の値を観測した起日（日）,3日までの9月の1位の値,3日までの9月の1位の値の品質情報,3日までの9月の1位の値の起日（年）,3日までの9月の1位の値の起日（月）,3日までの9月の1位の値の起日（日）,統計開始年,date
0,11001,北海道宗谷地方,宗谷岬（ソウヤミサキ）,,2025,9,4,2,0,18.6,4,1.0,1.0,4.0,,,,,,,0.0,28.7,4,2025,7,7,31.9,8,2000,8,1,29.7,8,1994,9,6,1978,2025-09-04
1,11016,北海道宗谷地方,稚内（ワッカナイ）,47401.0,2025,9,4,2,0,19.5,4,0.0,6.0,4.0,,,,,,,0.0,28.3,4,2025,8,4,32.7,8,2021,7,29,29.7,8,2019,9,8,1938,2025-09-04
2,11046,北海道宗谷地方,礼文（レブン）,,2025,9,4,2,0,18.9,4,0.0,53.0,4.0,,,,,,,0.0,29.0,4,2025,8,5,30.5,8,2022,7,31,29.0,8,2020,9,3,2003,2025-09-04
3,11061,北海道宗谷地方,声問（コエトイ）,,2025,9,4,2,0,19.4,4,2.0,0.0,4.0,,,,,,,0.0,29.5,4,2025,7,14,33.3,8,2021,7,29,31.1,8,2019,9,8,2003,2025-09-04
4,11076,北海道宗谷地方,浜鬼志別（ハマオニシベツ）,,2025,9,4,2,0,17.0,4,1.0,47.0,4.0,,,,,,,0.0,31.1,4,2025,7,7,32.7,8,2000,7,31,30.8,8,1994,9,6,1978,2025-09-04
5,11091,北海道宗谷地方,本泊（モトドマリ）,,2025,9,4,2,0,16.4,4,0.0,8.0,4.0,,,,,,,0.0,30.2,4,2025,7,7,31.8,8,2021,8,7,29.8,8,2019,9,8,2003,2025-09-04
6,11121,北海道宗谷地方,沼川（ヌマカワ）,,2025,9,4,2,0,14.5,4,0.0,2.0,4.0,,,,,,,0.0,29.5,4,2025,8,4,32.4,8,2021,7,29,31.3,8,2019,9,8,1977,2025-09-04
7,11151,北海道宗谷地方,沓形（クツガタ）,,2025,9,4,2,0,18.3,4,1.0,8.0,4.0,,,,,,,0.0,28.2,4,2025,7,30,32.5,8,1989,8,7,30.4,8,2020,9,3,1977,2025-09-04
8,11176,北海道宗谷地方,豊富（トヨトミ）,,2025,9,4,2,0,15.8,4,0.0,13.0,4.0,,,,,,,0.0,31.1,4,2025,8,3,33.1,8,2000,8,1,30.8,8,2019,9,8,1977,2025-09-04
9,11206,北海道宗谷地方,浜頓別（ハマトンベツ）,,2025,9,4,2,0,17.6,4,1.0,50.0,4.0,,,,,,,0.0,31.8,4,2025,7,25,33.6,4,1989,7,27,30.9,8,1994,9,6,1977,2025-09-04
10,11276,北海道宗谷地方,中頓別（ナカトンベツ）,,2025,9,4,2,0,14.9,4,0.0,2.0,4.0,,,,,,,0.0,33.5,4,2025,7,14,35.8,8,2021,8,7,32.4,8,2019,9,8,1977,2025-09-04
11,11291,北海道宗谷地方,北見枝幸（キタミエサシ）,47402.0,2025,9,4,2,0,18.2,4,0.0,2.0,4.0,,,,,,,0.0,32.2,4,2025,7,23,35.0,8,2000,7,31,32.1,8,2002,9,2,1942,2025-09-04
12,11316,北海道宗谷地方,歌登（ウタノボリ）,,2025,9,4,2,0,14.3,4,0.0,32.0,4.0,,,,,,,0.0,33.3,4,2025,8,1,35.4,8,1989,7,26,32.2,8,2019,9,8,1977,2025-09-04
13,12011,北海道上川地方,中川（ナカガワ）,,2025,9,4,2,0,14.7,4,2.0,0.0,4.0,,,,,,,0.0,32.5,4,2025,8,3,36.2,8,2021,7,28,33.9,8,2019,9,8,1977,2025-09-04
14,12041,北海道上川地方,音威子府（オトイネップ）,,2025,9,4,2,0,15.6,4,0.0,33.0,4.0,,,,,,,0.0,34.2,4,2025,7,14,36.6,8,2021,7,28,31.4,8,2019,9,8,1977,2025-09-04
15,12141,北海道上川地方,美深（ビフカ）,,2025,9,4,2,0,15.3,4,2.0,0.0,4.0,,,,,,,0.0,34.6,4,2025,7,14,36.6,8,2021,7,28,31.5,8,2012,9,18,1977,2025-09-04
16,12181,北海道上川地方,名寄（ナヨロ）,,2025,9,4,2,0,,1,,,,,,,,,,,34.5,4,2025,7,14,36.4,8,2021,7,28,31.3,8,2020,9,4,1976,2025-09-04
17,12231,北海道上川地方,下川（シモカワ）,,2025,9,4,2,0,15.3,4,0.0,5.0,4.0,,,,,,,0.0,34.6,4,2025,7,14,37.3,8,2021,7,28,31.5,8,2019,9,8,1977,2025-09-04
18,12261,北海道上川地方,士別（シベツ）,,2025,9,4,2,0,15.8,4,0.0,12.0,4.0,,,,,,,0.0,34.3,4,2025,7,14,37.0,8,2021,8,7,31.8,8,2020,9,4,1977,2025-09-04
19,12266,北海道上川地方,朝日（アサヒ）,,2025,9,4,2,0,15.3,4,1.0,4.0,4.0,,,,,,,0.0,36.4,4,2025,7,14,37.2,8,2021,8,7,32.0,8,2020,9,4,1977,2025-09-04
20,12301,北海道上川地方,和寒（ワッサム）,,2025,9,4,2,0,16.3,4,0.0,5.0,4.0,,,,,,,0.0,34.5,4,2025,7,14,36.8,8,2021,8,7,32.4,8,2012,9,18,1977,2025-09-04
21,12386,北海道上川地方,江丹別（エタンベツ）,,2025,9,4,2,0,14.6,4,2.0,0.0,4.0,,,,,,,0.0,33.9,4,2025,7,14,38.4,8,2021,7,31,32.0,8,2012,9,18,1977,2025-09-04
