year,max35_year_total,total_on_date,rem_days,previous_day
1963,3,2,1,7月28日
1964,1,0,1,7月28日
1965,1,0,1,7月28日
1966,0,0,0,7月28日
1967,2,0,2,7月28日
1968,0,0,0,7月28日
1969,3,0,3,7月28日
1970,4,0,4,7月28日
1971,0,0,0,7月28日
1972,1,0,1,7月28日
1973,0,0,0,7月28日
1974,0,0,0,7月28日
1975,2,1,1,7月28日
1976,1,0,1,7月28日
1977,0,0,0,7月28日
1978,7,0,7,7月28日
1979,0,0,0,7月28日
1980,0,0,0,7月28日
1981,0,0,0,7月28日
1982,0,0,0,7月28日
1983,2,0,2,7月28日
1984,3,0,3,7月28日
1985,1,0,1,7月28日
1986,0,0,0,7月28日
1987,3,2,1,7月28日
1988,0,0,0,7月28日
1989,0,0,0,7月28日
1990,2,0,2,7月28日
1991,4,3,1,7月28日
1992,2,0,2,7月28日
1993,0,0,0,7月28日
1994,8,3,5,7月28日
1995,13,2,11,7月28日
1996,2,0,2,7月28日
1997,3,3,0,7月28日
1998,3,2,1,7月28日
1999,0,0,0,7月28日
2000,1,0,1,7月28日
2001,8,7,1,7月28日
2002,6,0,6,7月28日
2003,0,0,0,7月28日
2004,6,4,2,7月28日
2005,4,2,2,7月28日
2006,3,2,1,7月28日
2007,7,0,7,7月28日
2008,1,0,1,7月28日
2009,0,0,0,7月28日
2010,13,4,9,7月28日
2011,4,1,3,7月28日
2012,6,2,4,7月28日
2013,12,6,6,7月28日
2014,5,1,4,7月28日
2015,11,2,9,7月28日
2016,3,2,1,7月28日
2017,2,1,1,7月28日
2018,12,5,7,7月28日
2019,12,0,12,7月28日
2020,12,0,12,7月28日
2021,2,0,2,7月28日
2022,16,9,7,7月28日
2023,10,10,0,7月28日
